COSTT4_A,MD_EARN_WNE_P10
36726,35422
11561,35987
43028,46092
47091,40694
18191,36916
38931,46573
42982,48825
27525,48199
12540,36455
39296,42643
19616,31088
12965,40782
57779,37032
21265,39463
33442,53278
17385,55901
24276,55838
14162,40796
45093,62105
31765,50535
17328,35352
47370,46660
19194,42620
37001,43221
20282,42647
28948,63403
24645,59637
25653,82957
27442,53037
13379,37537
23420,56280
22906,47885
25475,41297
32262,41592
23714,56309
27565,29058
28229,55955
57712,67102
69125,70783
53608,137047
12053,35325
38035,43112
15761,36922
13483,35562
42694,43071
23337,44030
24022,49827
17482,32442
17119,40837
83476,86182
49218,50876
49646,52199
34291,59268
44907,42401
12168,22953
16138,54329
54141,61772
15311,41951
12809,20073
18473,44296
14949,38520
16133,30528
11078,14747
14341,38034
43054,48296
17493,40738
11402,21152
15399,42862
21620,54329
23779,53263
23744,44511
17363,49505
44180,49036
14562,32725
19414,43229
33315,61289
23962,64876
28837,70845
13504,39429
20672,47002
51179,52415
61046,73911
55510,53316
49051,51303
24452,50105
30659,65071
9684,38773
12030,40059
52386,52163
20446,53909
29812,31458
53350,56405
25341,56887
13845,42634
20743,47071
33989,54338
12319,43405
40586,55045
19088,56887
21310,47075
12550,38729
33136,44130
13270,38087
33134,31398
19440,55037
24702,60614
12010,39289
15874,44573
19595,41987
65807,46474
83802,97434
61955,53353
36856,35809
60896,42092
37524,50318
34567,66479
29524,54368
22605,66479
29257,57304
23210,48943
20388,35037
24442,44700
22877,51182
17069,49063
18752,46164
22016,42397
50999,52248
65067,73371
19236,66479
38889,53565
38705,39762
15261,34241
15317,46624
38702,40251
44298,45902
15369,44379
11965,44745
53586,53843
11538,41212
51351,53726
14629,50243
12920,41751
61378,63646
11821,37230
47791,57273
50346,57602
52840,57273
49198,53096
34116,59988
14302,41751
33887,51725
24635,87408
13014,34333
23668,52745
24924,57237
12337,43264
13721,46861
60113,67991
25926,61415
39193,73894
22900,42827
32228,84276
16424,45210
14717,36972
80440,110066
25000,34990
30176,67541
53982,62208
33812,74479
35232,74479
33749,74479
50052,57815
16706,38020
64996,70196
52328,53038
13039,48145
76449,108772
32159,57602
21300,40344
26064,73971
37070,73323
13752,41595
26555,57780
10906,36869
11945,26364
12541,39067
10066,34020
18503,38550
12220,38550
23873,24505
21046,45937
9150,34233
18891,57410
11378,44792
22872,76489
15550,44792
20973,44792
13482,39067
15593,39067
20930,39067
14710,44792
17529,38112
13178,36513
15783,38005
30369,45389
14221,27660
16135,44792
15589,32272
21649,39095
47174,64973
57444,75482
16664,41267
22650,32568
52317,131426
54516,54897
38671,22782
61369,27019
27025,54695
63779,26975
27111,17686
81661,46543
84023,80516
39029,45884
23338,35348
15541,39710
21955,32568
23942,32568
23142,32568
42271,60681
38134,104403
13920,38709
27589,35023
42500,39899
76451,89696
15614,39246
83650,85139
32786,46236
86042,102491
12441,44441
67088,83847
83196,104043
13917,38817
26409,83972
54106,47475
13521,75971
12187,42306
11987,41307
13573,60752
14084,53501
13514,66039
12390,40485
13310,63163
13712,56195
12998,42621
13167,41653
13456,58013
14069,46498
13404,49365
13643,62763
11882,44214
13686,56945
42512,66942
44232,61808
48001,61171
15709,43929
24233,79677
50783,57550
12475,41228
29732,62696
19411,40054
40792,35887
77351,85569
14219,39535
15432,39674
80380,78411
66623,61107
41733,111027
17648,39199
40002,48309
80635,68831
68298,69039
29287,46721
13654,45460
57336,73595
30201,62379
66162,63548
17300,38242
19567,34976
17874,39991
80579,92751
81090,37827
16625,36442
53506,58289
50471,58956
51033,62731
52419,59950
19228,23438
20375,41527
38957,39108
62537,86316
74277,26878
55641,58832
23518,55458
14085,70771
63898,77819
63837,49131
32391,52055
28648,38830
21343,41192
15981,39850
48251,77789
26306,41236
14196,40174
51810,67705
50617,65756
13907,48248
56140,56458
39556,29382
82757,52901
79121,82509
13545,42285
50174,56196
17964,38276
53625,70080
46980,48041
14613,41190
14396,44117
68092,70378
50865,46145
25190,31519
22080,38450
76533,54295
19382,20707
79934,102051
49621,55031
71714,76571
82600,79042
14941,50243
50986,58316
55265,57214
42269,58099
30466,81908
79665,67258
52773,56040
51685,62909
29132,64383
79320,53603
13169,40902
62329,76079
81890,69363
39254,63905
28850,72122
52514,66944
46582,86693
61931,69571
16693,38354
23982,50445
23169,47860
26285,51629
27108,45030
17146,69781
26031,43295
28490,67979
29657,80596
29043,70814
29174,74502
27958,55763
23018,64355
25635,54496
23171,52334
26413,60236
25331,54247
26461,67316
27034,58073
27258,60386
27155,57566
24489,47866
28541,45092
19934,58526
27415,56403
18221,54080
28880,95951
37403,29699
80396,79164
19724,39230
19349,40707
37824,53419
29500,55318
12927,41896
81627,88604
21624,25113
9547,90610
36845,63277
83573,71366
33719,38857
75016,46459
63007,74360
51012,51094
30087,42215
15172,46822
21300,36173
22800,41785
69117,71353
13202,33234
12511,37308
22654,51836
16063,36048
48055,47913
15189,32519
32494,47937
39900,36654
11271,30591
13097,36324
45413,43545
12767,36668
24764,58708
15625,34515
58752,54886
13977,38654
21009,33357
47866,48793
18703,36977
10451,33525
